name,category,rating,address
몽탄,"고기요리",별점 4.46,서울 용산구 백범로99길 50
런던베이글뮤지엄 안국점,베이커리,"방문자 리뷰 8113",서울 종로구 북촌로4길 20
육지,"고기요리",별점 4.76,서울 마포구 독막로3길 34 1F
쌤쌤쌤,양식,별점 4.39,서울 용산구 한강대로50길 25 1층
금돼지식당,돼지고기구이,별점 4.4,서울 중구 다산로 149
고베규카츠 서울 강남점,돈가스,"방문자 리뷰 6527",서울 강남구 강남대로102길 29 예촌빌딩
우래옥,냉면,"방문자 리뷰 9255",서울 중구 창경궁로 62-29
남영돈,돼지고기구이,"방문자 리뷰 2469",서울 용산구 한강대로80길 17 남영돈
진주집,국수,별점 4.4,서울 영등포구 국제금융로6길 33 지하 1층
난포,한식,"방문자 리뷰 4693",서울 성동구 서울숲4길 18-8 지층
대련집,"칼국수",별점 4.36,서울 종로구 종로16길 37
고베규카츠 건대점,돈가스,"방문자 리뷰 4936",서울 광진구 아차산로33길 64
테디뵈르하우스 용산점,"카페","방문자 리뷰 8821",서울 용산구 한강대로40가길 42 1층
스태픽스,"카페",별점 4.31,서울 종로구 사직로9길 22 102호
소문난성수감자탕,감자탕,별점 4.4,서울 성동구 연무장길 45
오레노라멘 본점,일본식라면,별점 4.54,서울 마포구 독막로6길 14
진저베어,"카페","방문자 리뷰 5081",서울 송파구 백제고분로41길 43-7 1층
연하동 연남본점,일식당,별점 4.48,서울 마포구 연남로 6
우와,일식당,별점 4.43,서울 마포구 와우산로21길 21-16 2층
명동교자 본점,"칼국수",별점 4.42,서울 중구 명동10길 29
진미평양냉면,냉면,별점 4.32,서울 강남구 학동로 305-3
능동미나리,한식,"방문자 리뷰 1913","서울 용산구 한강대로40길 28 1, 2층"
미쁘동 연남본점,일식당,별점 4.42,서울 마포구 동교로38길 33-21 2층
제스티살룬 성수,햄버거,별점 4.51,서울 성동구 서울숲4길 13 1층 제스티살룬
청수당 베이커리,"카페",별점 4.39,서울 종로구 돈화문로11나길 31-9
꽁티드툴레아,브런치,"방문자 리뷰 4481",서울 강남구 도산대로49길 39
광화문미진,한식,별점 4.39,서울 종로구 종로 19
진주회관,국수,별점 4.3,서울 중구 세종대로11길 26
또순이네집,소고기구이,별점 4.26,서울 영등포구 선유로47길 16 오오1004빌딩
진작다이닝 성수점,일식당,별점 4.55,서울 성동구 왕십리로14나길 10
우동 카덴,"우동",별점 4.23,서울 마포구 양화로7안길 2-1
산청숯불가든 을지로,"고기요리","방문자 리뷰 4111",서울 중구 을지로 114-6 1층
까폼,태국음식,별점 4.51,서울 강남구 선릉로153길 18 지하1층
성수다락,"스파게티",별점 4.45,서울 성동구 뚝섬로9길 20 2층
옥동식,국밥,"방문자 리뷰 2365",서울 마포구 양화로7길 44-10
화목순대국,"순댓국",별점 4.31,서울 영등포구 여의대방로 383 1F (경도상가 1층)
송화산시도삭면,"딤섬",별점 4.53,서울 광진구 뚝섬로27길 48
서울앵무새 성수점,"카페",별점 4.49,서울 성동구 서울숲9길 3 B1~2F
애플하우스,떡볶이,별점 4.34,서울 동작구 동작대로27다길 29 2층
담택,일본식라면,별점 4.63,서울 마포구 동교로12안길 51 1층
꺼거,중식당,별점 4.46,서울 용산구 한강대로48길 10
깡통만두,만두,별점 4.42,서울 종로구 북촌로2길 5-6 1층
농민백암순대 본점,"순댓국",별점 4.51,서울 강남구 선릉로86길 40-4
핫쵸,일식당,별점 4.46,서울 강남구 도산대로15길 32-10 지하1층
어글리베이커리,베이커리,"방문자 리뷰 10112",서울 마포구 월드컵로13길 73 1층 어글리 베이커리
교다이야,"우동",별점 4.47,서울 마포구 성지길 39 합정빌딩 1층
삼청동수제비,한식,별점 4.27,서울 종로구 삼청로 101-1
오스테리아 오르조,양식,별점 4.49,서울 용산구 한남대로20길 47
필동면옥,냉면,별점 4.25,서울 중구 서애로 26
중앙해장,해장국,별점 4.42,서울 강남구 영동대로86길 17 육인빌딩
올디스타코,"멕시코","방문자 리뷰 2112",서울 중구 충무로4길 3 1층 (한신빌딩)
파이프그라운드,피자,별점 4.55,서울 용산구 한남대로27길 66 지하1층
니커버커베이글 잠실점,"카페","방문자 리뷰 5092",서울 송파구 석촌호수로 268 1층 109~112호
온천집,샤브샤브,별점 4.36,서울 종로구 돈화문로11나길 31-8
런던베이글뮤지엄 도산점,베이커리,"방문자 리뷰 5540","서울 강남구 언주로168길 33 1, 2층"
더숲 초소책방,카페,별점 4.4,서울 종로구 인왕산로 172
땀땀,베트남음식,"방문자 리뷰 7138",서울 강남구 강남대로98길 12-5
아키비스트,"카페",별점 4.5,서울 종로구 효자로13길 52 1층 아키비스트 서촌
효뜨,베트남음식,별점 4.32,서울 용산구 한강대로40가길 6 1층 2층
채그로,북카페,별점 4.4,서울 마포구 마포대로4다길 31
사랑방칼국수,"칼국수",별점 4.46,서울 중구 퇴계로27길 46
아우룸,이탈리아음식,별점 4.71,서울 마포구 월드컵로5길 33-26 1층
조앤도슨,"카페",방문자 리뷰 604,"서울 마포구 동교로41길 31 지층 좌측, 조앤도슨"
연교,"딤섬",별점 4.48,서울 마포구 연희로1길 65 1층
황생가칼국수,"칼국수",별점 4.32,서울 종로구 북촌로5길 78
도토리 용산점,"카페","방문자 리뷰 4130",서울 용산구 한강대로52길 25-6 1층
아베베베이커리 서울,"베이커리","방문자 리뷰 3853",서울 종로구 청계천로 201
쵸리상경,"한식",별점 4.55,서울 성동구 서울숲4길 18-8 2층 쵸리상경
카페 산아래,"카페",별점 4.48,서울 강북구 삼양로181길 56 102호
탐광,"일식당",별점 4.36,서울 성동구 연무장5가길 26
꾸아 성수점,"베트남음식",별점 4.39,서울 성동구 왕십리로 94-2 2층
다케오 호르몬 데판야끼,"고기요리","방문자 리뷰 1619",서울 중구 을지로12길 14 1층
소금집델리 안국,"샌드위치",별점 4.43,서울 종로구 북촌로4길 19 1층
도산뚝배기,"한식",별점 4.72,서울 강남구 도산대로54길 18 1층
하니칼국수,"요리주점",별점 4.36,서울 중구 퇴계로 411-15
심퍼티쿠시 용산점,"양식","방문자 리뷰 811",서울 용산구 한강대로52길 17-3 1층
산청숯불가든 마곡,"고기요리","방문자 리뷰 3436",서울 강서구 마곡중앙8로 85 1층 102~108호
카쿠시타,"이자카야",별점 4.53,서울 마포구 동교로38길 33-15 지하1층
란주칼면,"중식당",별점 4.44,서울 중구 소공로 64 1층 란주칼면
리정원 성신여대점,"고기요리",별점 4.49,서울 성북구 동소문로20나길 11 1층
어니언 안국,"카페",별점 4.44,서울 종로구 계동길 5 카페 어니언
