name,location,category,tags
서울 문묘와 성균관,종로구,1.0,#관광지#성균관#역사#역사공부#역사관광#역사관광지#역사를품은곳
북한산 생태탐방원,도봉구,1.0,#관광지#국립공원#도봉구#북한산#생태탐방원#자연
이탈리아의무부대 6.25전쟁 참전기념비,영등포구,1.0,#625기념비#관광지#국가보훈처#기념비#역사#역사공부#역사관광지
방화근린공원,강서구,1.0,#강서구공원#관광지#바닥분수#서울공원#썰매장#아이와가볼만한곳
허브체험공원,강동구,1.0,#관광지
북서울꿈의숲,강북구,1.0,#관광지#나들이#당일치기여행#도심여행#반려동물#반려동물동반여행지
정동교회 이필주 사택 터,중구,1.0,#관광지#수도권#역사#역사관광지#역사를품은곳#역사문화재#역사속
서울 동관왕묘,종로구,1.0,#관광지#관우#교과서속여행#동관왕묘#문화재#사당#삼국지#수도권
이원등 상사상,용산구,1.0,#가족과함께#관광지#노들섬동상#동상#아이와함께#애국심#애국정신
새남터기념성당,용산구,1.0,#가족여행#관광지#근대문화유산#당일치기여행#새나무터#새남터기념관
용산성당,용산구,1.0,#관광지#서울성당#역사#역사공부#역사관광지#역사를품은곳#역사문화재
반공순국용사 위령탑,영등포구,1.0,#625용사위령탑#관광지#반공순국용사#반공순국용사위령탑#사계절
고덕동 생태경관 보전지역,강동구,1.0,#고덕동생태경관보전지역#관광지#산책하기좋은곳#생태체험#생태학습
대모산숲속야생화원,강남구,1.0,#강남대모산숲속야생화원#걷기좋은곳#관광지#대모산#대모산야생화원
광진교 8번가,강동구,1.0,#관광지#광진교#광진교8번가#데이트코스#문화체험#사계절#상설공연
아이아이 연남,마포구,1.0,#관광지#데이트하기좋은곳#마음에세이#서울가볼만한곳#심리전시#이색데이트
강서역사문화거리,강서구,1.0,#강서역사문화거리#관광지#서울가볼만한곳#서울여행#서울역사문화거리
성균관 명륜당,종로구,1.0,#관광지#단풍#단풍명소#명륜관#서울#서울종로구#성균관
홍익문화공원,마포구,1.0,#관광지#버스킹#플리마켓#홍대놀이터#홍대버스킹#홍대어린이놀이터
